Target Distance: 100, Step Size: 20
0: (x,y) = (1.39513, -19.9513)
1: (x,y) = (19.5213, -28.4036)
2: (x,y) = (17.4307, -8.51321)
3: (x,y) = (37.2361, -11.2967)
4: (x,y) = (29.1013, 6.97424)
5: (x,y) = (30.4965, -12.977)
6: (x,y) = (26.3382, 6.58591)
7: (x,y) = (38.9246, 22.1288)
8: (x,y) = (34.4256, 2.64143)
9: (x,y) = (45.8972, -13.7416)
10: (x,y) = (36.201, 3.75078)
11: (x,y) = (36.55, 23.7477)
12: (x,y) = (31.3736, 43.0663)
13: (x,y) = (27.9007, 23.3701)
14: (x,y) = (31.7168, 43.0026)
15: (x,y) = (37.2296, 62.2279)
16: (x,y) = (34.7922, 42.377)
17: (x,y) = (18.2115, 53.5608)
18: (x,y) = (34.5945, 42.0893)
19: (x,y) = (41.7619, 23.4177)
20: (x,y) = (21.7893, 24.4644)
21: (x,y) = (37.1102, 11.6086)
22: (x,y) = (37.8081, -8.37918)
23: (x,y) = (54.1912, 3.09235)
24: (x,y) = (59.0296, 22.4983)
25: (x,y) = (65.21, 41.5194)
26: (x,y) = (48.0666, 31.2186)
27: (x,y) = (66.3375, 23.0839)
28: (x,y) = (68.0806, 43.0078)
29: (x,y) = (78.3814, 60.1511)
30: (x,y) = (83.8941, 40.9259)
31: (x,y) = (69.752, 26.7838)
32: (x,y) = (52.2596, 36.48)
33: (x,y) = (49.8222, 56.3309)
34: (x,y) = (69.0475, 61.8436)
35: (x,y) = (49.0505, 61.4946)
36: (x,y) = (37.579, 77.8776)
37: (x,y) = (27.579, 60.5571)
38: (x,y) = (28.9741, 40.6058)
39: (x,y) = (20.2067, 22.63)
40: (x,y) = (31.3905, 6.04921)
41: (x,y) = (33.4811, -13.8412)
42: (x,y) = (38.6575, -33.1597)
43: (x,y) = (29.5777, -50.9799)
44: (x,y) = (44.2048, -37.3399)
45: (x,y) = (42.8096, -17.3886)
46: (x,y) = (22.8857, -15.6455)
47: (x,y) = (41.4294, -8.15338)
48: (x,y) = (21.4325, -8.50243)
49: (x,y) = (27.6128, 10.5187)
50: (x,y) = (34.4532, -8.27515)
51: (x,y) = (53.4743, -2.09481)
52: (x,y) = (68.3372, -15.4774)
53: (x,y) = (69.0352, 4.51039)
54: (x,y) = (52.2618, -6.38239)
55: (x,y) = (65.9018, -21.0095)
56: (x,y) = (84.4455, -13.5173)
57: (x,y) = (98.5876, -27.6595)
After 58 steps, the subject has the following location:
(x,y) = (98.5876, -27.6595)
 or
(m,a) = (102.394, -15.6719)
Average outward distance per step = 1.76542
